,Name,Axis,Boundary,Threshold,Unfilled,Filled,%Filled
3556,p-o-24,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
3652,p-o-25,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
3748,p-o-26,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
3844,p-o-27,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
3940,p-o-28,X-coord,-1.0-1.0,1.0,1309.0,111.0,7.816901408450704
4036,p-o-29,X-coord,-1.0-1.0,1.0,1386.0,34.0,2.3943661971830985
4132,p-o-30,X-coord,-1.0-1.0,1.0,1280.0,140.0,9.859154929577464
4228,p-o-31,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
4324,p-o-32,X-coord,-1.0-1.0,1.0,1161.0,259.0,18.239436619718308
4420,p-o-33,X-coord,-1.0-1.0,1.0,1243.0,177.0,12.464788732394366
4516,p-o-34,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
4612,p-o-35,X-coord,-1.0-1.0,1.0,1302.0,118.0,8.309859154929578
4708,p-o-36,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
4804,p-o-37,X-coord,-1.0-1.0,1.0,1419.0,1.0,0.07042253521126761
4900,p-o-38,X-coord,-1.0-1.0,1.0,1202.0,218.0,15.352112676056338
4996,p-o-39,X-coord,-1.0-1.0,1.0,1199.0,221.0,15.56338028169014
5092,p-o-40,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
5188,p-o-41,X-coord,-1.0-1.0,1.0,1232.0,188.0,13.23943661971831
5284,p-o-42,X-coord,-1.0-1.0,1.0,1363.0,57.0,4.014084507042254
5380,p-o-43,X-coord,-1.0-1.0,1.0,1155.0,265.0,18.661971830985916
5476,p-o-44,X-coord,-1.0-1.0,1.0,1392.0,28.0,1.971830985915493
5572,p-o-45,X-coord,-1.0-1.0,1.0,1207.0,213.0,15.0
5668,p-o-46,X-coord,-1.0-1.0,1.0,1142.0,278.0,19.577464788732396
5764,p-o-47,X-coord,-1.0-1.0,1.0,1321.0,99.0,6.971830985915493
5860,p-o-48,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
5956,p-o-8,X-coord,-1.0-1.0,1.0,1194.0,226.0,15.915492957746478
6052,p-o-9,X-coord,-1.0-1.0,1.0,1420.0,0.0,0.0
5,c-n-1,X-coord,-1.0-1.0,1.25,1415.0,5.0,0.352112676056338
101,c-n-2,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0
197,c-n-3,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0
293,c-o-1,X-coord,-1.0-1.0,1.25,1420.0,0.0,0.0
