,Name,Axis,Boundary,Threshold,Unfilled,Filled,%Filled,Unnamed: 0,Coefficient,Weighted_percent_filled
3217,n-o-5,Y-coord,-1.0-1.0,0.5,1144.0,276.0,19.43661971830986,50,0.2347258006863611,4.562276126016596
3218,n-o-6,Y-coord,-1.0-1.0,0.5,1137.0,283.0,19.929577464788732,50,0.2347258006863611,4.677986027763393
3219,p-n-1,Y-coord,-1.0-1.0,0.5,1208.0,212.0,14.929577464788732,50,0.2347258006863611,3.504357024331588
3220,p-n-2,Y-coord,-1.0-1.0,0.5,1072.0,348.0,24.507042253521128,50,0.2347258006863611,5.75243511541223
3221,p-n-3,Y-coord,-1.0-1.0,0.5,1245.0,175.0,12.32394366197183,50,0.2347258006863611,2.892747543669943
3222,p-n-4,Y-coord,-1.0-1.0,0.5,1092.0,328.0,23.098591549295776,50,0.2347258006863611,5.421835396135665
3223,p-o-10,Y-coord,-1.0-1.0,0.5,1370.0,50.0,3.5211267605633805,50,0.2347258006863611,0.8264992981914123
3224,p-o-11,Y-coord,-1.0-1.0,0.5,1323.0,97.0,6.830985915492958,50,0.2347258006863611,1.60340863849134
3225,p-o-12,Y-coord,-1.0-1.0,0.5,1393.0,27.0,1.9014084507042253,50,0.2347258006863611,0.44630962102336263
3226,p-o-13,Y-coord,-1.0-1.0,0.5,1377.0,43.0,3.028169014084507,50,0.2347258006863611,0.7107893964446146
3227,p-o-14,Y-coord,-1.0-1.0,0.5,1272.0,148.0,10.422535211267606,50,0.2347258006863611,2.4464379226465804
3228,p-o-15,Y-coord,-1.0-1.0,0.5,1368.0,52.0,3.6619718309859155,50,0.2347258006863611,0.8595592701190687
3229,p-o-16,Y-coord,-1.0-1.0,0.5,1242.0,178.0,12.535211267605634,50,0.2347258006863611,2.9423375015614277
3230,p-o-17,Y-coord,-1.0-1.0,0.5,1394.0,26.0,1.8309859154929577,50,0.2347258006863611,0.42977963505953437
3231,p-o-18,Y-coord,-1.0-1.0,0.5,1273.0,147.0,10.352112676056338,50,0.2347258006863611,2.4299079366827523
3232,p-o-19,Y-coord,-1.0-1.0,0.5,1303.0,117.0,8.23943661971831,50,0.2347258006863611,1.9340083577679048
3233,p-o-20,Y-coord,-1.0-1.0,0.5,1191.0,229.0,16.12676056338028,50,0.2347258006863611,3.785366785716668
3234,p-o-21,Y-coord,-1.0-1.0,0.5,1278.0,142.0,10.0,50,0.2347258006863611,2.347258006863611
3235,p-o-22,Y-coord,-1.0-1.0,0.5,1157.0,263.0,18.52112676056338,50,0.2347258006863611,4.347386308486828
3236,p-o-23,Y-coord,-1.0-1.0,0.5,1209.0,211.0,14.859154929577464,50,0.2347258006863611,3.48782703836776
3237,p-o-24,Y-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,50,0.2347258006863611,0.0
3238,p-o-25,Y-coord,-1.0-1.0,0.5,1157.0,263.0,18.52112676056338,50,0.2347258006863611,4.347386308486828
3239,p-o-26,Y-coord,-1.0-1.0,0.5,1327.0,93.0,6.549295774647887,50,0.2347258006863611,1.537288694636027
3240,p-o-27,Y-coord,-1.0-1.0,0.5,1282.0,138.0,9.71830985915493,50,0.2347258006863611,2.281138063008298
3241,p-o-28,Y-coord,-1.0-1.0,0.5,1203.0,217.0,15.28169014084507,50,0.2347258006863611,3.5870069541507292
3242,p-o-29,Y-coord,-1.0-1.0,0.5,1285.0,135.0,9.507042253521126,50,0.2347258006863611,2.231548105116813
3243,p-o-30,Y-coord,-1.0-1.0,0.5,1343.0,77.0,5.422535211267606,50,0.2347258006863611,1.272808919214775
